index,name,geometry,point_lon,point_lat
68,Rowlands Pharmacy,POINT (-2.979535878289108 53.42453253908646),-2.979535878,53.42453254
69,Rowlands Pharmacy,POINT (-2.884023400508973 53.48239982596195),-2.884023401,53.48239983
70,Health Pharmacy,POINT (-2.31532369896209 52.37586783849849),-2.315323699,52.37586784
71,Boots,POINT (-0.4251636926971605 51.57121589631318),-0.425163693,51.5712159
72,Late Night Yew Tree Pharmacy,POINT (-1.765788033694735 52.42090923526476),-1.765788034,52.42090924
73,Adams Pharmacy,POINT (-2.078218197904873 53.49283792492371),-2.078218198,53.49283792
74,Day - Night Pharmacy,POINT (-2.209761311674082 53.06240522166186),-2.209761312,53.06240522
75,The Riverside Pharmacy,POINT (-0.4065068794773433 52.99778444943369),-0.406506879,52.99778445
76,Ealing Stop Smoking Service,POINT (-0.322501718185965 51.51258452241884),-0.322501718,51.51258452
77,Sunfield Medical Centre,POINT (-1.667382402356821 53.80668388389365),-1.667382402,53.80668388
78,Hado Pharmacy,POINT (1.109723681414651 52.3782609330818),1.109723681,52.37826093
79,Culm Valley Integrated Centre for Health,POINT (-3.392707481918211 50.8641808490074),-3.392707482,50.86418085
80,Maltby Pharmacy,POINT (-1.204009673206256 53.42230521275917),-1.204009673,53.42230521
81,Harold Wood Polyclinic,POINT (0.2256976536601843 51.59318260108704),0.225697654,51.5931826
82,Caergwrle Clinic,POINT (-3.040564885353789 53.11012132476969),-3.040564885,53.11012132
83,Boots,POINT (1.180691277841662 52.6538381398482),1.180691278,52.65383814
84,Peterlee Community Hospital,POINT (-1.333038796732906 54.75406682213323),-1.333038797,54.75406682
85,High Green Pharmacy,POINT (-1.491503309268745 53.47500162153029),-1.491503309,53.47500162
86,Harrogate Pharmacy,POINT (-1.535898159819933 53.9946606288313),-1.53589816,53.99466063
87,Delmergate Pharmacy,POINT (0.2261801299463012 51.46159130626837),0.22618013,51.46159131
88,One Hatfield Hospital,POINT (-0.2364757332933049 51.77115558186198),-0.236475733,51.77115558
89,Community Nurses Office,POINT (-2.658728223048619 53.67834848555407),-2.658728223,53.67834849
90,Howitts Pharmacy,POINT (-1.139528713424549 52.60379365434778),-1.139528713,52.60379365
91,Jade Pharmacy,POINT (-0.3341652163498926 51.75659918568422),-0.334165216,51.75659919
92,Kamsons Pharmacy,POINT (-0.1063034372456494 50.81852072849547),-0.106303437,50.81852073
93,Lloyds Pharmacy,POINT (-2.037103739303457 53.11182392181502),-2.037103739,53.11182392
94,Churchdown Mental Health Centre,POINT (0.004681300068950769 51.42634304561992),0.0046813,51.42634305
95,Nishkam Pharmacy,POINT (-1.925519661766605 52.50117321591854),-1.925519662,52.50117322
96,Tesco in-store Pharmacy,POINT (-0.6868266443734884 52.48501021766619),-0.686826644,52.48501022
97,The Bridges Learning Centre,POINT (-2.710496732444613 53.37518267877584),-2.710496732,53.37518268
98,CAMHS,POINT (-1.214105446229278 51.73249801465263),-1.214105446,51.73249801
99,Lansdales Pharmacy,POINT (-0.7615694844170622 51.63304678601397),-0.761569484,51.63304679
100,Fleetwood Health Centre Pharmacy,POINT (-3.010415734029675 53.92095609822519),-3.010415734,53.9209561
101,Whitemoor Medical Centre,POINT (-1.45475725416978 53.0314804410559),-1.454757254,53.03148044
102,Wellbrook Medical Centre,POINT (-1.629887334100089 52.87141638573034),-1.629887334,52.87141639
103,Community Nurses,POINT (-1.403752619324692 53.042840943231),-1.403752619,53.04284094
104,Clay Cross Medical Centre,POINT (-1.412199754627889 53.16808184038799),-1.412199755,53.16808184
105,Ripley Medical Centre,POINT (-1.406442310401304 53.04682762653529),-1.40644231,53.04682763
106,London Road Community Hospital,POINT (-1.468648029494291 52.91431635796577),-1.468648029,52.91431636
107,St Martins Pharmacy,POINT (-3.008549585875369 52.92449543476597),-3.008549586,52.92449543
108,Lemington Walk-in Centre,POINT (-1.712424456322242 54.97673185286708),-1.712424456,54.97673185
109,Schoen Clinic London,POINT (-0.1500051640148245 51.51658214167032),-0.150005164,51.51658214
110,Juniper Lodge,POINT (-2.450356460015039 50.71660527907121),-2.45035646,50.71660528
111,Fawdon Park Pharmacy,POINT (-1.645197851549193 55.01392817316014),-1.645197852,55.01392817
112,Riaz Pharmacy,POINT (-2.480522532002878 53.75323917898444),-2.480522532,53.75323918
113,Bellevue Pharmacy,POINT (-1.899616234129766 52.46490663029415),-1.899616234,52.46490663
114,Community Nurses Office,POINT (-1.57973679169427 54.97814332273814),-1.579736792,54.97814332
115,Benfield Park Medical Group,POINT (-1.561766089588787 54.98906296235158),-1.56176609,54.98906296
116,Biddlestone Health Group,POINT (-1.577382775199921 54.98955671022323),-1.577382775,54.98955671
117,Gillingate Pharmacy,POINT (-2.74812740652944 54.32318943091079),-2.748127407,54.32318943
118,Community Nurses Office,POINT (1.237277003634363 52.79478701372764),1.237277004,52.79478701
119,Sydenham Childrens Centre,POINT (-1.512569393405412 52.27869369278957),-1.512569393,52.27869369
120,Kingsway Childrens Centre,POINT (-1.53845184921255 52.27837418418535),-1.538451849,52.27837418
121,Lillington Childrens Centre,POINT (-1.517228011694971 52.30158870974732),-1.517228012,52.30158871
122,Whitnash Childrens Centre,POINT (-1.524601136272902 52.27476898127599),-1.524601136,52.27476898
123,The Ridings Centre,POINT (-1.069772361671202 54.61773545702358),-1.069772362,54.61773546
124,Peterlee Pharmacy,POINT (-1.33183795846801 54.76283125189943),-1.331837958,54.76283125
125,Paydens Ltd,POINT (0.8810628301695739 51.14822001247205),0.88106283,51.14822001
126,Rigbys Pharmacy,POINT (-2.442679291727416 53.56704253427914),-2.442679292,53.56704253
127,Life Pharmacy,POINT (-0.1674006327059414 51.49721563457931),-0.167400633,51.49721563
128,Rowlands Pharmacy,POINT (-2.894093132268904 53.35377361112992),-2.894093132,53.35377361
129,Maple House,POINT (-2.298563863570359 53.59129939947653),-2.298563864,53.5912994
130,Superdrug Pharmacy,POINT (-0.09829466538680716 51.51441523427206),-0.098294665,51.51441523
131,Aspire Pharmacy,POINT (-2.883681629353644 53.56768875094225),-2.883681629,53.56768875
132,Camberley Pharmacy,POINT (-0.7415968067995959 51.33597349152031),-0.741596807,51.33597349
133,Community Nurses Office,POINT (0.4565089168991568 51.72893479689829),0.456508917,51.7289348
134,Ellesmere Pharmacy,POINT (-2.900672184193663 53.27814819854175),-2.900672184,53.2781482
135,Mental Health Services,POINT (-0.2252290041289056 51.49056036607805),-0.225229004,51.49056037
136,Early Intervention Team - Newham,POINT (0.04410236724878775 51.53952855787966),0.044102367,51.53952856
137,Kirkby Community Mental Health Team,POINT (-2.879566662376605 53.48287496525131),-2.879566662,53.48287497
138,Rowlands Pharmacy,POINT (-3.217587699061001 53.27043169710767),-3.217587699,53.2704317
139,Cambridge Road Pharmacy,POINT (-2.965049450832441 53.66177547096868),-2.965049451,53.66177547
140,Total Medcare Pharmacy,POINT (0.08835096470580263 51.64610373779928),0.088350965,51.64610374
141,The Hyde Pharmacy,POINT (-0.2520408928329866 51.58754086542873),-0.252040893,51.58754087
142,Rowlands Pharmacy,POINT (-1.842472754107166 50.72954518758097),-1.842472754,50.72954519
143,Armley Moor Pharmacy,POINT (-1.593482542940966 53.79636550113869),-1.593482543,53.7963655
144,Community Nurses Office,POINT (-2.71171210381707 52.05390185133905),-2.711712104,52.05390185
145,Florence Nightingale Child Development Centre,POINT (0.1326692522500611 51.76759721799446),0.132669252,51.76759722
146,Hammersmith Pharmacy,POINT (-0.2224789296396067 51.48830657221963),-0.22247893,51.48830657
147,Heysham Primary Care Centre,POINT (-2.894059148834407 54.04171438770431),-2.894059149,54.04171439
148,Maidstone Hospital,POINT (0.4854897338551971 51.27448961489961),0.485489734,51.27448961
149,Park View Medical Centre,POINT (-2.935446269319059 53.42197370174813),-2.935446269,53.4219737
150,Community Health Services,POINT (-0.08836168797774406 53.56267569325408),-0.088361688,53.56267569
151,Well Pharmacy,POINT (-0.9399438940836572 52.24469824241159),-0.939943894,52.24469824
152,Queen Street Resource Centre,POINT (-0.07965124026149271 53.56666066289588),-0.07965124,53.56666066
153,Pilgrim Primary Care Centre,POINT (-0.2058993824674996 53.61792159882219),-0.205899382,53.6179216
154,Lloyds Pharmacy,POINT (-2.617624745525916 51.5103026457051),-2.617624746,51.51030265
155,Simpill Ltd,POINT (-1.605634683008317 55.0946970766643),-1.605634683,55.09469708
156,St Lukes Pharmacy,POINT (-1.302679493356691 50.92588063600915),-1.302679493,50.92588064
157,Plymbridge House,POINT (-4.123373150609796 50.4124303432721),-4.123373151,50.41243034
158,Morrab Pharmacy,POINT (-5.539016454234403 50.11707338282078),-5.539016454,50.11707338
159,Drugsmith Pharmacy,POINT (-0.2710129855050553 51.40201217035685),-0.271012986,51.40201217
160,Barrow Pharmacy,POINT (0.5852122643000777 52.23936013940207),0.585212264,52.23936014
161,Boots,POINT (-3.403504726546073 53.33672749834781),-3.403504727,53.3367275
162,Grangetown Pharmacy,POINT (-1.146348679960887 54.57599897615494),-1.14634868,54.57599898
163,CAMHS,POINT (0.2110108738747815 51.44548322821083),0.211010874,51.44548323
164,DHC Pain Clinic,POINT (-0.3334437477204238 51.22598763536676),-0.333443748,51.22598764
165,Walsall CAMHS,POINT (-1.98963315002964 52.62108448021747),-1.98963315,52.62108448
166,St Bernard's Hospital Site,POINT (-0.3510754138854993 51.50671576197143),-0.351075414,51.50671576
167,Community Nurses Office,POINT (-2.744191228034208 52.22615740291536),-2.744191228,52.2261574
168,South Locality Team - City & Hackney,POINT (-0.06448233853363575 51.5317663507342),-0.064482339,51.53176635
169,Community Nurses Office,POINT (-1.712468080677446 53.82379477820022),-1.712468081,53.82379478
170,Macmillan Nurses Office,POINT (-0.01475132509961184 52.9908805192528),-0.014751325,52.99088052
171,Murrays Healthcare,POINT (-2.053111412623826 52.5406231259687),-2.053111413,52.54062313
172,Dialhouse Pharmacy,POINT (-2.134359086938077 53.39617053045599),-2.134359087,53.39617053
173,Childrens & Family Services,POINT (-1.844682076492089 50.72726490864171),-1.844682076,50.72726491
174,Clay Lane Pharmacy,POINT (-1.482731252677423 52.41221238592022),-1.482731253,52.41221239
175,Attwood Green Pharmacy,POINT (-1.908469984043025 52.4726235971775),-1.908469984,52.4726236
176,Community Health Services,POINT (-3.000669431710894 53.74873083716724),-3.000669432,53.74873084
177,Mangal Pharmacy,POINT (0.04942286337058339 51.45472395174991),0.049422863,51.45472395
178,Eddie Hawker Wing,POINT (-1.973116856750333 50.72198734413077),-1.973116857,50.72198734
179,Care Co-ordination Centre,POINT (1.162901508383 52.03727936494433),1.162901508,52.03727936
180,Seamoor Unit,POINT (-4.050435538446096 51.09216599321023),-4.050435538,51.09216599
181,Rowlands Pharmacy,POINT (-1.797532339881183 51.07179959366901),-1.79753234,51.07179959
182,Well Pharmacy,POINT (-3.566983106824023 50.43329452039259),-3.566983107,50.43329452
183,Farah Chemist Ltd,POINT (-1.67378439278835 54.97333649628057),-1.673784393,54.9733365
184,Well Pharmacy,POINT (-1.33426389869491 50.90859879482209),-1.334263899,50.90859879
185,Rackheath Pharmacy,POINT (1.381094479170636 52.66092075399533),1.381094479,52.66092075
186,Courts Pharmacy,POINT (1.404853357371522 51.33660846300486),1.404853357,51.33660846
187,Wellesbourne Pharmacy,POINT (-1.590020069080144 52.19525852847819),-1.590020069,52.19525853
188,Newton Pharmacy,POINT (-2.063825243026991 53.46374193986819),-2.063825243,53.46374194
189,Monsell Pharmacy,POINT (-1.145661944010289 52.59061368934338),-1.145661944,52.59061369
190,Staplegrove Pharmacy,POINT (-3.129393138966454 51.02575285802776),-3.129393139,51.02575286
191,Lloyds Pharmacy,POINT (-1.152609428695393 51.8979586196326),-1.152609429,51.89795862
192,Alpha Chemist,POINT (0.06713683733968202 51.49044711408972),0.067136837,51.49044711
193,Walmley Pharmacy,POINT (-1.800821199277552 52.54010845039262),-1.800821199,52.54010845
194,Kesgrave Pharmacy,POINT (1.22899879215769 52.05815909283633),1.228998792,52.05815909
195,Periville Chemist,POINT (-0.0666565190003533 53.5585168984038),-0.066656519,53.5585169
196,Chemilab Pharmacy,POINT (-0.4021613398346665 51.69091301350976),-0.40216134,51.69091301
197,Crown Pharmacy,POINT (-0.3954962880202019 51.79912966779174),-0.395496288,51.79912967
198,Station Pharmacy New Cross,POINT (-0.03191622811032365 51.47615350102522),-0.031916228,51.4761535
199,Margate Pharmacy,POINT (1.406236823558902 51.38259202424067),1.406236824,51.38259202
200,Woolwich Late Night Pharmacy,POINT (0.06878166738602587 51.49034616287108),0.068781667,51.49034616
201,Buckley Pharmacy,POINT (-0.2983834848735344 51.30983443704107),-0.298383485,51.30983444
202,Haddens Pharmacy,POINT (-2.987307257411135 53.4491403324111),-2.987307257,53.44914033
203,J Andersen Pharmacy,POINT (0.6011528850554888 50.86882916747673),0.601152885,50.86882917
204,Ladywell Pharmacy,POINT (-0.02491008463465878 51.45698913495412),-0.024910085,51.45698913
205,The Pharmacy,POINT (0.7194433557458817 52.07941812377163),0.719443356,52.07941812
206,New Inn Pharmacy,POINT (-3.009483887693511 51.68987485751745),-3.009483888,51.68987486
207,Cooper & Kime (Cleveland) Ltd,POINT (-1.173716392774852 54.57823612285932),-1.173716393,54.57823612
208,Worksop Pharmacy,POINT (-1.124541622060983 53.3019989900445),-1.124541622,53.30199899
209,Brian H Donlon Pharmacy,POINT (-2.656561236011572 53.46831966375827),-2.656561236,53.46831966
210,Barrow Pharmacy,POINT (-0.3806588485447771 53.6756257285691),-0.380658849,53.67562573
211,Ponda's Chemist,POINT (-2.528585511576477 53.19150531776242),-2.528585512,53.19150532
212,Atlas Pharmacy,POINT (-2.724275235283684 53.45516077021271),-2.724275235,53.45516077
213,Vincent Smith Pharmacy,POINT (-2.356977988976326 53.49186245450376),-2.356977989,53.49186245
214,Z A Akram Ltd,POINT (-1.796859534070268 53.63834010239133),-1.796859534,53.6383401
215,Drake Pharmacy,POINT (-2.982974708437882 53.45635816887444),-2.982974708,53.45635817
216,Strachans Chemist,POINT (-2.289937936925857 53.60196187031947),-2.289937937,53.60196187
217,Ware Cross Pharmacy,POINT (-0.0136259743228025 51.77652739661499),-0.013625974,51.7765274
218,Larvic Pharmacy,POINT (-1.991677157367621 52.57473604065554),-1.991677157,52.57473604
219,Medipharmacy,POINT (-0.2306906141767038 51.41012500536204),-0.230690614,51.41012501
220,Centrechem,POINT (-1.603407533898193 54.87331894240792),-1.603407534,54.87331894
221,Hermans Pharmacy,POINT (-0.4785991491629066 51.45392570898345),-0.478599149,51.45392571
222,Community Paediatrics,POINT (-1.685359430472785 52.77622308259119),-1.68535943,52.77622308
223,Congleton Pharmacy,POINT (-2.216792005991006 53.16376167460901),-2.216792006,53.16376167
224,Rohpharm Pharmacy,POINT (0.01878118046917603 51.53125316792058),0.01878118,51.53125317
225,Canna Pharmacy,POINT (-3.198071066494681 51.48217449506448),-3.198071066,51.4821745
226,Girlington Pharmacy,POINT (-1.78821228291878 53.80305705284091),-1.788212283,53.80305705
227,G Gouldings Ltd,POINT (-1.793090192922308 52.48840765982695),-1.793090193,52.48840766
228,Hanover Medical Centre,POINT (-1.483628585955473 53.37518515555337),-1.483628586,53.37518516
229,Cohens Chemist,POINT (-2.212058315986379 53.5332676510963),-2.212058316,53.53326765
230,Peak Pharmacy,POINT (-1.37078375226093 53.25609015559516),-1.370783752,53.25609016
231,Bowness Pharmacy,POINT (-2.22442791165262 53.55374659932169),-2.224427912,53.5537466
232,Marlow Bottom Pharmacy,POINT (-0.7743107998257035 51.58702574340433),-0.7743108,51.58702574
233,Direct Pharmacy,POINT (-0.5861090832032059 51.23794911347287),-0.586109083,51.23794911
234,Stevanage Pharmacy,POINT (-0.1605419989265934 51.91612754655134),-0.160541999,51.91612755
235,S & S Chemists,POINT (-0.2610204382613514 51.54100421152341),-0.261020438,51.54100421
236,Parmay Pharmacy,POINT (-0.2041002194631623 51.48791864283409),-0.204100219,51.48791864
237,John Low Ltd,POINT (-1.842614697658169 54.86812785849109),-1.842614698,54.86812786
238,Island Pharmacy,POINT (0.5380757898274229 51.40677620890591),0.53807579,51.40677621
239,Evergreen Pharmacy,POINT (-1.870790680242323 52.42651832386168),-1.87079068,52.42651832
240,J & L C Clark Chemists,POINT (-1.524189585229514 54.52242456678399),-1.524189585,54.52242457
241,Community Nurses Office,POINT (-1.627109168104087 55.02696700775354),-1.627109168,55.02696701
242,Lloyds Pharmacy,POINT (-1.26387463560903 53.27552365897751),-1.263874636,53.27552366
243,Abbeydale Pharmacy,POINT (-1.485424382559487 53.35463122257339),-1.485424383,53.35463122
244,Prince Pharmacy,POINT (-0.1577061662979901 51.50254017802858),-0.157706166,51.50254018
245,Siddique Pharmacy,POINT (-1.774666397612261 53.78643159813613),-1.774666398,53.7864316
246,All Saints Pharmacy,POINT (-1.643860827554489 52.7940957370356),-1.643860828,52.79409574
247,Millstream Pharmacy,POINT (-2.15077304725329 52.59023641865595),-2.150773047,52.59023642
248,Fordingbridge Pharmacy,POINT (-1.790825778556967 50.92735248362059),-1.790825779,50.92735248
249,Meadway Health Centre,POINT (-2.34429893400097 53.41332199634713),-2.344298934,53.413322
250,Community Nursing Office,POINT (-2.904362628118606 54.37475888836671),-2.904362628,54.37475889
251,Clemitsons Chemist,POINT (-1.747097126358913 54.71675104028024),-1.747097126,54.71675104
252,Mariner House,POINT (1.146334051974673 52.05760885503538),1.146334052,52.05760886
253,Hythe Hospital,POINT (-1.403459299608164 50.85856243459841),-1.4034593,50.85856243
254,St Michael's Hospital,POINT (-2.599390774011816 51.45913078168259),-2.599390774,51.45913078
255,Berwick Maternity Unit,POINT (-2.004979449296101 55.7732849216791),-2.004979449,55.77328492
256,Central Middlesex Hospital,POINT (-0.2688601159798261 51.53087788472086),-0.268860116,51.53087788
257,University Hospital of Wales,POINT (-3.189845993386023 51.50715504793457),-3.189845993,51.50715505
258,Community Midwifery,POINT (0.7091756115608729 52.23166227615479),0.709175612,52.23166228
259,Longton Health Centre,POINT (-2.135393378266469 52.99206543124966),-2.135393378,52.99206543
260,Abbey Hulton Health Centre,POINT (-2.145168594783833 53.03266687318023),-2.145168595,53.03266687
261,Learning Disabilities Community Nurses,POINT (-2.122167799178275 52.97804136166661),-2.122167799,52.97804136
262,Smallthorne Health Centre,POINT (-2.172694296679317 53.05099479329023),-2.172694297,53.05099479
263,Trent Vale Health Centre,POINT (-2.200465390491084 52.9883102929635),-2.20046539,52.98831029
264,Downing Close Clinic,POINT (-1.745147755697374 52.37922444297337),-1.745147756,52.37922444
265,Great Oaks Clinic,POINT (0.4561551914279413 51.57160742479503),0.456155191,51.57160742
266,Aveley Clinic,POINT (0.2560894560158343 51.49606449077979),0.256089456,51.49606449
267,Purfleet Care Centre,POINT (0.2341778987211864 51.48638490976954),0.234177899,51.48638491
268,Community Nurses Office,POINT (-0.3386071054309256 51.80689087891636),-0.338607105,51.80689088
269,Bethnal Green Health Centre,POINT (-0.06425556634929895 51.52691561148856),-0.064255566,51.52691561
270,London Colney Clinic,POINT (-0.2996592054532309 51.72284360790253),-0.299659205,51.72284361
271,Mandeville Clinic,POINT (-0.3396494469129764 51.73743398966933),-0.339649447,51.73743399
272,Oxhey Drive Health Centre,POINT (-0.3902066896997519 51.62574639135121),-0.39020669,51.62574639
273,Principal Health Centre,POINT (-0.3363626723458219 51.75239509934039),-0.336362672,51.7523951
274,Durnford Street Clinic,POINT (-2.197286220861846 53.55294151202961),-2.197286221,53.55294151
275,Langley Clinic,POINT (-2.213823158496473 53.55742700098809),-2.213823158,53.557427
276,Colman Road Health Centre,POINT (1.260299294331666 52.62604111450925),1.260299294,52.62604111
277,Fakenham Health Office,POINT (0.8557757469136632 52.8296594072517),0.855775747,52.82965941
278,Marsh Farm Health Centre,POINT (-0.4528588638830967 51.91710503933257),-0.452858864,51.91710504
279,Leagrave Health Clinic,POINT (-0.4673868083561176 51.90124509665756),-0.467386808,51.9012451
280,West Mersea Clinic,POINT (0.9139717010179031 51.77849087417379),0.913971701,51.77849087
281,City Community Mental Health Team,POINT (1.287993562944646 52.62163620425901),1.287993563,52.6216362
282,Greenstead Clinic,POINT (0.9362470470368813 51.89164402976363),0.936247047,51.89164403
283,Community Learning Difficulties Service,POINT (-0.1420123178624334 51.5373183691259),-0.142012318,51.53731837
284,Vicarage Field Health Centre,POINT (0.08136549662686922 51.53794704165541),0.081365497,51.53794704
285,Comely Bank Clinic,POINT (-0.01008990327768218 51.58283347464138),-0.010089903,51.58283347
286,Community Nurses Office,POINT (0.00210010333669041 51.55541452220594),0.002100103,51.55541452
287,South Forest Centre,POINT (0.003484720247924062 51.55475240929201),0.00348472,51.55475241
288,Stuart Crescent Health Centre,POINT (-0.110257865482073 51.60001018650777),-0.110257865,51.60001019
289,Standon & Puckeridge Health Centre,POINT (0.02309393339645247 51.8876300844623),0.023093933,51.88763008
290,Torbay Hospital,POINT (-3.553803861808758 50.48231611404884),-3.553803862,50.48231611
291,Monkspath Clinic,POINT (-1.78388928401211 52.39077292784997),-1.783889284,52.39077293
292,Oak Tree Lane Health Centre,POINT (-1.154515561752618 53.13410353646538),-1.154515562,53.13410354
293,Devon Health Visiting Service,POINT (-3.406718373460991 50.6264635854798),-3.406718373,50.62646359
294,Bradford Sexual Health,POINT (-1.751705323347815 53.79369354286273),-1.751705323,53.79369354
295,Ashford Unit,POINT (-1.525414504389472 50.93161269898716),-1.525414504,50.9316127
